INSERT INTO memory_table (user_id, username, age)
VALUES
 ('00000', 'st0', '1'),
 ('10019', 'st10019', '20'),
 ('10020', 'st10020', '21'),
 ('10021', 'st10021', '22'),
 ('10022', 'st10022', '23'),
 ('10023', 'st10023', '24'),
 ('10024', 'st10024', '25'),
 ('10025', 'st10025', '26'),
 ('10026', 'st10026', '27'),
 ('10027', 'st10027', '28'),
 ('10028', 'st10028', '29'),
 ('10029', 'st10029', '30'),
 ('10030', 'st10030', '31'),
 ('10031', 'st10031', '32'),
 ('10032', 'st10032', '33'),
 ('10033', 'st10033', '34'),
 ('10034', 'st10034', '35'),
 ('10035', 'st10035', '36'),
 ('10036', 'st10036', '37'),
 ('10037', 'st10037', '38'),
 ('10038', 'st10038', '39'),
 ('10039', 'st10039', '40'),
 ('10040', 'st10040', '41'),
 ('10041', 'st10041', '42'),
 ('10042', 'st10042', '43'),
 ('10043', 'st10043', '44'),
 ('10044', 'st10044', '45'),
 ('10045', 'st10045', '46'),
 ('10046', 'st10046', '47'),
 ('10047', 'st10047', '48'),
 ('10048', 'st10048', '49'),
 ('10049', 'st10049', '50'),
 ('10050', 'st10050', '51'),
 ('10051', 'st10051', '52'),
 ('10052', 'st10052', '53'),
 ('10053', 'st10053', '54'),
 ('10054', 'st10054', '55'),
 ('10055', 'st10055', '56'),
 ('10056', 'st10056', '57'),
 ('10057', 'st10057', '58'),
 ('10058', 'st10058', '59'),
 ('10059', 'st10059', '60'),
 ('10060', 'st10060', '61'),
 ('10061', 'st10061', '62'),
 ('10062', 'st10062', '63'),
 ('10063', 'st10063', '64'),
 ('10064', 'st10064', '65'),
 ('10065', 'st10065', '66'),
 ('10066', 'st10066', '67'),
 ('10067', 'st10067', '68'),
 ('10068', 'st10068', '69'),
 ('10069', 'st10069', '70'),
 ('10070', 'st10070', '71'),
 ('10071', 'st10071', '72'),
 ('10072', 'st10072', '73'),
 ('10073', 'st10073', '74'),
 ('10074', 'st10074', '75'),
 ('10075', 'st10075', '76'),
 ('10076', 'st10076', '77'),
 ('10077', 'st10077', '78'),
 ('10078', 'st10078', '79'),
 ('10079', 'st10079', '80'),
 ('10080', 'st10080', '81'),
 ('10081', 'st10081', '82'),
 ('10082', 'st10082', '83'),
 ('10083', 'st10083', '84'),
 ('10084', 'st10084', '85'),
 ('10085', 'st10085', '86'),
 ('10086', 'st10086', '87'),
 ('10087', 'st10087', '88'),
 ('10088', 'st10088', '89'),
 ('10089', 'st10089', '90'),
 ('10090', 'st10090', '91'),
 ('10091', 'st10091', '92'),
 ('10092', 'st10092', '93'),
 ('10093', 'st10093', '94'),
 ('10094', 'st10094', '95'),
 ('10095', 'st10095', '96'),
 ('10096', 'st10096', '97'),
 ('10097', 'st10097', '98'),
 ('10098', 'st10098', '99'),
 ('10099', 'st10099', '100'),
 ('10100', 'st10100', '1'),
 ('10101', 'st10101', '2'),
 ('10102', 'st10102', '3'),
 ('10103', 'st10103', '4'),
 ('10104', 'st10104', '5'),
 ('10105', 'st10105', '6'),
 ('10106', 'st10106', '7'),
 ('10107', 'st10107', '8'),
 ('10108', 'st10108', '9'),
 ('10109', 'st10109', '10'),
 ('10110', 'st10110', '11'),
 ('10111', 'st10111', '12'),
 ('10112', 'st10112', '13'),
 ('10113', 'st10113', '14'),
 ('10114', 'st10114', '15'),
 ('10115', 'st10115', '16'),
 ('10116', 'st10116', '17'),
 ('10117', 'st10117', '18'),
 ('10118', 'st10118', '19'),
 ('10119', 'st10119', '20'),
 ('10120', 'st10120', '21'),
 ('10121', 'st10121', '22'),
 ('10122', 'st10122', '23'),
 ('10123', 'st10123', '24'),
 ('10124', 'st10124', '25'),
 ('10125', 'st10125', '26'),
 ('10126', 'st10126', '27'),
 ('10127', 'st10127', '28'),
 ('10128', 'st10128', '29'),
 ('10129', 'st10129', '30'),
 ('10130', 'st10130', '31'),
 ('10131', 'st10131', '32'),
 ('10132', 'st10132', '33'),
 ('10133', 'st10133', '34'),
 ('10134', 'st10134', '35'),
 ('10135', 'st10135', '36'),
 ('10136', 'st10136', '37'),
 ('10137', 'st10137', '38'),
 ('10138', 'st10138', '39'),
 ('10139', 'st10139', '40'),
 ('10140', 'st10140', '41'),
 ('10141', 'st10141', '42'),
 ('10142', 'st10142', '43'),
 ('10143', 'st10143', '44'),
 ('10144', 'st10144', '45'),
 ('10145', 'st10145', '46'),
 ('10146', 'st10146', '47'),
 ('10147', 'st10147', '48'),
 ('10148', 'st10148', '49'),
 ('10149', 'st10149', '50'),
 ('10150', 'st10150', '51'),
 ('10151', 'st10151', '52'),
 ('10152', 'st10152', '53'),
 ('10153', 'st10153', '54'),
 ('10154', 'st10154', '55'),
 ('10155', 'st10155', '56'),
 ('10156', 'st10156', '57'),
 ('10157', 'st10157', '58'),
 ('10158', 'st10158', '59'),
 ('10159', 'st10159', '60'),
 ('10160', 'st10160', '61'),
 ('10161', 'st10161', '62'),
 ('10162', 'st10162', '63'),
 ('10163', 'st10163', '64'),
 ('10164', 'st10164', '65'),
 ('10165', 'st10165', '66'),
 ('10166', 'st10166', '67'),
 ('10167', 'st10167', '68'),
 ('10168', 'st10168', '69'),
 ('10169', 'st10169', '70'),
 ('10170', 'st10170', '71'),
 ('10171', 'st10171', '72'),
 ('10172', 'st10172', '73'),
 ('10173', 'st10173', '74'),
 ('10174', 'st10174', '75'),
 ('10175', 'st10175', '76'),
 ('10176', 'st10176', '77'),
 ('10177', 'st10177', '78'),
 ('10178', 'st10178', '79'),
 ('10179', 'st10179', '80'),
 ('10180', 'st10180', '81'),
 ('10181', 'st10181', '82'),
 ('10182', 'st10182', '83'),
 ('10183', 'st10183', '84'),
 ('10184', 'st10184', '85'),
 ('10185', 'st10185', '86'),
 ('10186', 'st10186', '87'),
 ('10187', 'st10187', '88'),
 ('10188', 'st10188', '89'),
 ('10189', 'st10189', '90'),
 ('10190', 'st10190', '91'),
 ('10191', 'st10191', '92'),
 ('10192', 'st10192', '93'),
 ('10193', 'st10193', '94'),
 ('10194', 'st10194', '95'),
 ('10195', 'st10195', '96'),
 ('10196', 'st10196', '97'),
 ('10197', 'st10197', '98'),
 ('10198', 'st10198', '99'),
 ('10199', 'st10199', '100'),
 ('10200', 'st10200', '1'),
 ('10201', 'st10201', '2'),
 ('10202', 'st10202', '3'),
 ('10203', 'st10203', '4'),
 ('10204', 'st10204', '5'),
 ('10205', 'st10205', '6'),
 ('10206', 'st10206', '7'),
 ('10207', 'st10207', '8'),
 ('10208', 'st10208', '9'),
 ('10209', 'st10209', '10'),
 ('10210', 'st10210', '11'),
 ('10211', 'st10211', '12'),
 ('10212', 'st10212', '13'),
 ('10213', 'st10213', '14'),
 ('10214', 'st10214', '15'),
 ('10215', 'st10215', '16'),
 ('10216', 'st10216', '17'),
 ('10217', 'st10217', '18'),
 ('10218', 'st10218', '19'),
 ('10219', 'st10219', '20'),
 ('10220', 'st10220', '21'),
 ('10221', 'st10221', '22'),
 ('10222', 'st10222', '23'),
 ('10223', 'st10223', '24'),
 ('10224', 'st10224', '25'),
 ('10225', 'st10225', '26'),
 ('10226', 'st10226', '27'),
 ('10227', 'st10227', '28'),
 ('10228', 'st10228', '29'),
 ('10229', 'st10229', '30'),
 ('10230', 'st10230', '31'),
 ('10231', 'st10231', '32'),
 ('10232', 'st10232', '33'),
 ('10233', 'st10233', '34'),
 ('10234', 'st10234', '35'),
 ('10235', 'st10235', '36'),
 ('10236', 'st10236', '37'),
 ('10237', 'st10237', '38'),
 ('10238', 'st10238', '39'),
 ('10239', 'st10239', '40'),
 ('10240', 'st10240', '41'),
 ('10241', 'st10241', '42'),
 ('10242', 'st10242', '43'),
 ('10243', 'st10243', '44'),
 ('10244', 'st10244', '45'),
 ('10245', 'st10245', '46'),
 ('10246', 'st10246', '47'),
 ('10247', 'st10247', '48'),
 ('10248', 'st10248', '49'),
 ('10249', 'st10249', '50'),
 ('10250', 'st10250', '51'),
 ('10251', 'st10251', '52'),
 ('10252', 'st10252', '53'),
 ('10253', 'st10253', '54'),
 ('10254', 'st10254', '55'),
 ('10255', 'st10255', '56'),
 ('10256', 'st10256', '57'),
 ('10257', 'st10257', '58'),
 ('10258', 'st10258', '59'),
 ('10259', 'st10259', '60'),
 ('10260', 'st10260', '61'),
 ('10261', 'st10261', '62'),
 ('10262', 'st10262', '63'),
 ('10263', 'st10263', '64'),
 ('10264', 'st10264', '65'),
 ('10265', 'st10265', '66'),
 ('10266', 'st10266', '67'),
 ('10267', 'st10267', '68'),
 ('10268', 'st10268', '69'),
 ('10269', 'st10269', '70'),
 ('10270', 'st10270', '71'),
 ('10271', 'st10271', '72'),
 ('10272', 'st10272', '73'),
 ('10273', 'st10273', '74'),
 ('10274', 'st10274', '75'),
 ('10275', 'st10275', '76'),
 ('10276', 'st10276', '77'),
 ('10277', 'st10277', '78'),
 ('10278', 'st10278', '79'),
 ('10279', 'st10279', '80'),
 ('10280', 'st10280', '81'),
 ('10281', 'st10281', '82'),
 ('10282', 'st10282', '83'),
 ('10283', 'st10283', '84'),
 ('10284', 'st10284', '85'),
 ('10285', 'st10285', '86'),
 ('10286', 'st10286', '87'),
 ('10287', 'st10287', '88'),
 ('10288', 'st10288', '89'),
 ('10289', 'st10289', '90'),
 ('10290', 'st10290', '91'),
 ('10291', 'st10291', '92'),
 ('10292', 'st10292', '93'),
 ('10293', 'st10293', '94'),
 ('10294', 'st10294', '95'),
 ('10295', 'st10295', '96'),
 ('10296', 'st10296', '97'),
 ('10297', 'st10297', '98'),
 ('10298', 'st10298', '99'),
 ('10299', 'st10299', '100'),
 ('10300', 'st10300', '1'),
 ('10301', 'st10301', '2'),
 ('10302', 'st10302', '3'),
 ('10303', 'st10303', '4'),
 ('10304', 'st10304', '5'),
 ('10305', 'st10305', '6'),
 ('10306', 'st10306', '7'),
 ('10307', 'st10307', '8'),
 ('10308', 'st10308', '9'),
 ('10309', 'st10309', '10'),
 ('10310', 'st10310', '11'),
 ('10311', 'st10311', '12'),
 ('10312', 'st10312', '13'),
 ('10313', 'st10313', '14'),
 ('10314', 'st10314', '15'),
 ('10315', 'st10315', '16'),
 ('10316', 'st10316', '17'),
 ('10317', 'st10317', '18'),
 ('10318', 'st10318', '19'),
 ('10319', 'st10319', '20'),
 ('10320', 'st10320', '21'),
 ('10321', 'st10321', '22'),
 ('10322', 'st10322', '23'),
 ('10323', 'st10323', '24'),
 ('10324', 'st10324', '25'),
 ('10325', 'st10325', '26'),
 ('10326', 'st10326', '27'),
 ('10327', 'st10327', '28'),
 ('10328', 'st10328', '29'),
 ('10329', 'st10329', '30'),
 ('10330', 'st10330', '31'),
 ('10331', 'st10331', '32'),
 ('10332', 'st10332', '33'),
 ('10333', 'st10333', '34'),
 ('10334', 'st10334', '35'),
 ('10335', 'st10335', '36'),
 ('10336', 'st10336', '37'),
 ('10337', 'st10337', '38'),
 ('10338', 'st10338', '39'),
 ('10339', 'st10339', '40'),
 ('10340', 'st10340', '41'),
 ('10341', 'st10341', '42'),
 ('10342', 'st10342', '43'),
 ('10343', 'st10343', '44'),
 ('10344', 'st10344', '45'),
 ('10345', 'st10345', '46'),
 ('10346', 'st10346', '47'),
 ('10347', 'st10347', '48'),
 ('10348', 'st10348', '49'),
 ('10349', 'st10349', '50'),
 ('10350', 'st10350', '51'),
 ('10351', 'st10351', '52'),
 ('10352', 'st10352', '53'),
 ('10353', 'st10353', '54'),
 ('10354', 'st10354', '55'),
 ('10355', 'st10355', '56'),
 ('10356', 'st10356', '57'),
 ('10357', 'st10357', '58'),
 ('10358', 'st10358', '59'),
 ('10359', 'st10359', '60'),
 ('10360', 'st10360', '61'),
 ('10361', 'st10361', '62'),
 ('10362', 'st10362', '63'),
 ('10363', 'st10363', '64'),
 ('10364', 'st10364', '65'),
 ('10365', 'st10365', '66'),
 ('10366', 'st10366', '67'),
 ('10367', 'st10367', '68'),
 ('10368', 'st10368', '69'),
 ('10369', 'st10369', '70'),
 ('10370', 'st10370', '71'),
 ('10371', 'st10371', '72'),
 ('10372', 'st10372', '73'),
 ('10373', 'st10373', '74'),
 ('10374', 'st10374', '75'),
 ('10375', 'st10375', '76'),
 ('10376', 'st10376', '77'),
 ('10377', 'st10377', '78'),
 ('10378', 'st10378', '79'),
 ('10379', 'st10379', '80'),
 ('10380', 'st10380', '81'),
 ('10381', 'st10381', '82'),
 ('10382', 'st10382', '83'),
 ('10383', 'st10383', '84'),
 ('10384', 'st10384', '85'),
 ('10385', 'st10385', '86'),
 ('10386', 'st10386', '87'),
 ('10387', 'st10387', '88'),
 ('10388', 'st10388', '89'),
 ('10389', 'st10389', '90'),
 ('10390', 'st10390', '91'),
 ('10391', 'st10391', '92'),
 ('10392', 'st10392', '93'),
 ('10393', 'st10393', '94'),
 ('10394', 'st10394', '95'),
 ('10395', 'st10395', '96'),
 ('10396', 'st10396', '97'),
 ('10397', 'st10397', '98'),
 ('10398', 'st10398', '99'),
 ('10399', 'st10399', '100'),
 ('10400', 'st10400', '1'),
 ('10401', 'st10401', '2'),
 ('10402', 'st10402', '3'),
 ('10403', 'st10403', '4'),
 ('10404', 'st10404', '5'),
 ('10405', 'st10405', '6'),
 ('10406', 'st10406', '7'),
 ('10407', 'st10407', '8'),
 ('10408', 'st10408', '9'),
 ('10409', 'st10409', '10'),
 ('10410', 'st10410', '11'),
 ('10411', 'st10411', '12'),
 ('10412', 'st10412', '13'),
 ('10413', 'st10413', '14'),
 ('10414', 'st10414', '15'),
 ('10415', 'st10415', '16'),
 ('10416', 'st10416', '17'),
 ('10417', 'st10417', '18'),
 ('10418', 'st10418', '19'),
 ('10419', 'st10419', '20'),
 ('10420', 'st10420', '21'),
 ('10421', 'st10421', '22'),
 ('10422', 'st10422', '23'),
 ('10423', 'st10423', '24'),
 ('10424', 'st10424', '25'),
 ('10425', 'st10425', '26'),
 ('10426', 'st10426', '27'),
 ('10427', 'st10427', '28'),
 ('10428', 'st10428', '29'),
 ('10429', 'st10429', '30'),
 ('10430', 'st10430', '31'),
 ('10431', 'st10431', '32'),
 ('10432', 'st10432', '33'),
 ('10433', 'st10433', '34'),
 ('10434', 'st10434', '35'),
 ('10435', 'st10435', '36'),
 ('10436', 'st10436', '37'),
 ('10437', 'st10437', '38'),
 ('10438', 'st10438', '39'),
 ('10439', 'st10439', '40'),
 ('10440', 'st10440', '41'),
 ('10441', 'st10441', '42'),
 ('10442', 'st10442', '43'),
 ('10443', 'st10443', '44'),
 ('10444', 'st10444', '45'),
 ('10445', 'st10445', '46'),
 ('10446', 'st10446', '47'),
 ('10447', 'st10447', '48'),
 ('10448', 'st10448', '49'),
 ('10449', 'st10449', '50'),
 ('10450', 'st10450', '51'),
 ('10451', 'st10451', '52'),
 ('10452', 'st10452', '53'),
 ('10453', 'st10453', '54'),
 ('10454', 'st10454', '55'),
 ('10455', 'st10455', '56'),
 ('10456', 'st10456', '57'),
 ('10457', 'st10457', '58'),
 ('10458', 'st10458', '59'),
 ('10459', 'st10459', '60'),
 ('10460', 'st10460', '61'),
 ('10461', 'st10461', '62'),
 ('10462', 'st10462', '63'),
 ('10463', 'st10463', '64'),
 ('10464', 'st10464', '65'),
 ('10465', 'st10465', '66'),
 ('10466', 'st10466', '67'),
 ('10467', 'st10467', '68'),
 ('10468', 'st10468', '69'),
 ('10469', 'st10469', '70'),
 ('10470', 'st10470', '71'),
 ('10471', 'st10471', '72'),
 ('10472', 'st10472', '73'),
 ('10473', 'st10473', '74'),
 ('10474', 'st10474', '75'),
 ('10475', 'st10475', '76'),
 ('10476', 'st10476', '77'),
 ('10477', 'st10477', '78'),
 ('10478', 'st10478', '79'),
 ('10479', 'st10479', '80'),
 ('10480', 'st10480', '81'),
 ('10481', 'st10481', '82'),
 ('10482', 'st10482', '83'),
 ('10483', 'st10483', '84'),
 ('10484', 'st10484', '85'),
 ('10485', 'st10485', '86'),
 ('10486', 'st10486', '87'),
 ('10487', 'st10487', '88'),
 ('10488', 'st10488', '89'),
 ('10489', 'st10489', '90'),
 ('10490', 'st10490', '91'),
 ('10491', 'st10491', '92'),
 ('10492', 'st10492', '93'),
 ('10493', 'st10493', '94'),
 ('10494', 'st10494', '95'),
 ('10495', 'st10495', '96'),
 ('10496', 'st10496', '97'),
 ('10497', 'st10497', '98'),
 ('10498', 'st10498', '99'),
 ('10499', 'st10499', '100'),
 ('10500', 'st10500', '1'),
 ('10501', 'st10501', '2'),
 ('10502', 'st10502', '3'),
 ('10503', 'st10503', '4'),
 ('10504', 'st10504', '5'),
 ('10505', 'st10505', '6'),
 ('10506', 'st10506', '7'),
 ('10507', 'st10507', '8'),
 ('10508', 'st10508', '9'),
 ('10509', 'st10509', '10'),
 ('10510', 'st10510', '11'),
 ('10511', 'st10511', '12'),
 ('10512', 'st10512', '13'),
 ('10513', 'st10513', '14'),
 ('10514', 'st10514', '15'),
 ('10515', 'st10515', '16'),
 ('10516', 'st10516', '17'),
 ('10517', 'st10517', '18'),
 ('10518', 'st10518', '19'),
 ('10519', 'st10519', '20'),
 ('10520', 'st10520', '21'),
 ('10521', 'st10521', '22'),
 ('10522', 'st10522', '23'),
 ('10523', 'st10523', '24'),
 ('10524', 'st10524', '25'),
 ('10525', 'st10525', '26'),
 ('10526', 'st10526', '27'),
 ('10527', 'st10527', '28'),
 ('10528', 'st10528', '29'),
 ('10529', 'st10529', '30'),
 ('10530', 'st10530', '31'),
 ('10531', 'st10531', '32'),
 ('10532', 'st10532', '33'),
 ('10533', 'st10533', '34'),
 ('10534', 'st10534', '35'),
 ('10535', 'st10535', '36'),
 ('10536', 'st10536', '37'),
 ('10537', 'st10537', '38'),
 ('10538', 'st10538', '39'),
 ('10539', 'st10539', '40'),
 ('10540', 'st10540', '41'),
 ('10541', 'st10541', '42'),
 ('10542', 'st10542', '43'),
 ('10543', 'st10543', '44'),
 ('10544', 'st10544', '45'),
 ('10545', 'st10545', '46'),
 ('10546', 'st10546', '47'),
 ('10547', 'st10547', '48'),
 ('10548', 'st10548', '49'),
 ('10549', 'st10549', '50'),
 ('10550', 'st10550', '51'),
 ('10551', 'st10551', '52'),
 ('10552', 'st10552', '53'),
 ('10553', 'st10553', '54'),
 ('10554', 'st10554', '55'),
 ('10555', 'st10555', '56'),
 ('10556', 'st10556', '57'),
 ('10557', 'st10557', '58'),
 ('10558', 'st10558', '59'),
 ('10559', 'st10559', '60'),
 ('10560', 'st10560', '61'),
 ('10561', 'st10561', '62'),
 ('10562', 'st10562', '63'),
 ('10563', 'st10563', '64'),
 ('10564', 'st10564', '65'),
 ('10565', 'st10565', '66'),
 ('10566', 'st10566', '67'),
 ('10567', 'st10567', '68'),
 ('10568', 'st10568', '69'),
 ('10569', 'st10569', '70'),
 ('10570', 'st10570', '71'),
 ('10571', 'st10571', '72'),
 ('10572', 'st10572', '73'),
 ('10573', 'st10573', '74'),
 ('10574', 'st10574', '75'),
 ('10575', 'st10575', '76'),
 ('10576', 'st10576', '77'),
 ('10577', 'st10577', '78'),
 ('10578', 'st10578', '79'),
 ('10579', 'st10579', '80'),
 ('10580', 'st10580', '81'),
 ('10581', 'st10581', '82'),
 ('10582', 'st10582', '83'),
 ('10583', 'st10583', '84'),
 ('10584', 'st10584', '85'),
 ('10585', 'st10585', '86'),
 ('10586', 'st10586', '87'),
 ('10587', 'st10587', '88'),
 ('10588', 'st10588', '89'),
 ('10589', 'st10589', '90'),
 ('10590', 'st10590', '91'),
 ('10591', 'st10591', '92'),
 ('10592', 'st10592', '93'),
 ('10593', 'st10593', '94'),
 ('10594', 'st10594', '95'),
 ('10595', 'st10595', '96'),
 ('10596', 'st10596', '97'),
 ('10597', 'st10597', '98'),
 ('10598', 'st10598', '99'),
 ('10599', 'st10599', '100'),
 ('10600', 'st10600', '1'),
 ('10601', 'st10601', '2'),
 ('10602', 'st10602', '3'),
 ('10603', 'st10603', '4'),
 ('10604', 'st10604', '5'),
 ('10605', 'st10605', '6'),
 ('10606', 'st10606', '7'),
 ('10607', 'st10607', '8'),
 ('10608', 'st10608', '9'),
 ('10609', 'st10609', '10'),
 ('10610', 'st10610', '11'),
 ('10611', 'st10611', '12'),
 ('10612', 'st10612', '13'),
 ('10613', 'st10613', '14'),
 ('10614', 'st10614', '15'),
 ('10615', 'st10615', '16'),
 ('10616', 'st10616', '17'),
 ('10617', 'st10617', '18'),
 ('10618', 'st10618', '19'),
 ('10619', 'st10619', '20'),
 ('10620', 'st10620', '21'),
 ('10621', 'st10621', '22'),
 ('10622', 'st10622', '23'),
 ('10623', 'st10623', '24'),
 ('10624', 'st10624', '25'),
 ('10625', 'st10625', '26'),
 ('10626', 'st10626', '27'),
 ('10627', 'st10627', '28'),
 ('10628', 'st10628', '29'),
 ('10629', 'st10629', '30'),
 ('10630', 'st10630', '31'),
 ('10631', 'st10631', '32'),
 ('10632', 'st10632', '33'),
 ('10633', 'st10633', '34'),
 ('10634', 'st10634', '35'),
 ('10635', 'st10635', '36'),
 ('10636', 'st10636', '37'),
 ('10637', 'st10637', '38'),
 ('10638', 'st10638', '39'),
 ('10639', 'st10639', '40'),
 ('10640', 'st10640', '41'),
 ('10641', 'st10641', '42'),
 ('10642', 'st10642', '43'),
 ('10643', 'st10643', '44'),
 ('10644', 'st10644', '45'),
 ('10645', 'st10645', '46'),
 ('10646', 'st10646', '47'),
 ('10647', 'st10647', '48'),
 ('10648', 'st10648', '49'),
 ('10649', 'st10649', '50'),
 ('10650', 'st10650', '51'),
 ('10651', 'st10651', '52'),
 ('10652', 'st10652', '53'),
 ('10653', 'st10653', '54'),
 ('10654', 'st10654', '55'),
 ('10655', 'st10655', '56'),
 ('10656', 'st10656', '57'),
 ('10657', 'st10657', '58'),
 ('10658', 'st10658', '59'),
 ('10659', 'st10659', '60'),
 ('10660', 'st10660', '61'),
 ('10661', 'st10661', '62'),
 ('10662', 'st10662', '63'),
 ('10663', 'st10663', '64'),
 ('10664', 'st10664', '65'),
 ('10665', 'st10665', '66'),
 ('10666', 'st10666', '67'),
 ('10667', 'st10667', '68'),
 ('10668', 'st10668', '69'),
 ('10669', 'st10669', '70'),
 ('10670', 'st10670', '71'),
 ('10671', 'st10671', '72'),
 ('10672', 'st10672', '73'),
 ('10673', 'st10673', '74'),
 ('10674', 'st10674', '75'),
 ('10675', 'st10675', '76'),
 ('10676', 'st10676', '77'),
 ('10677', 'st10677', '78'),
 ('10678', 'st10678', '79'),
 ('10679', 'st10679', '80'),
 ('10680', 'st10680', '81'),
 ('10681', 'st10681', '82'),
 ('10682', 'st10682', '83'),
 ('10683', 'st10683', '84'),
 ('10684', 'st10684', '85'),
 ('10685', 'st10685', '86'),
 ('10686', 'st10686', '87'),
 ('10687', 'st10687', '88'),
 ('10688', 'st10688', '89'),
 ('10689', 'st10689', '90'),
 ('10690', 'st10690', '91'),
 ('10691', 'st10691', '92'),
 ('10692', 'st10692', '93'),
 ('10693', 'st10693', '94'),
 ('10694', 'st10694', '95'),
 ('10695', 'st10695', '96'),
 ('10696', 'st10696', '97'),
 ('10697', 'st10697', '98'),
 ('10698', 'st10698', '99'),
 ('10699', 'st10699', '100'),
 ('10700', 'st10700', '1'),
 ('10701', 'st10701', '2'),
 ('10702', 'st10702', '3'),
 ('10703', 'st10703', '4'),
 ('10704', 'st10704', '5'),
 ('10705', 'st10705', '6'),
 ('10706', 'st10706', '7'),
 ('10707', 'st10707', '8'),
 ('10708', 'st10708', '9'),
 ('10709', 'st10709', '10'),
 ('10710', 'st10710', '11'),
 ('10711', 'st10711', '12'),
 ('10712', 'st10712', '13'),
 ('10713', 'st10713', '14'),
 ('10714', 'st10714', '15'),
 ('10715', 'st10715', '16'),
 ('10716', 'st10716', '17'),
 ('10717', 'st10717', '18'),
 ('10718', 'st10718', '19'),
 ('10719', 'st10719', '20'),
 ('10720', 'st10720', '21'),
 ('10721', 'st10721', '22'),
 ('10722', 'st10722', '23'),
 ('10723', 'st10723', '24'),
 ('10724', 'st10724', '25'),
 ('10725', 'st10725', '26'),
 ('10726', 'st10726', '27'),
 ('10727', 'st10727', '28'),
 ('10728', 'st10728', '29'),
 ('10729', 'st10729', '30'),
 ('10730', 'st10730', '31'),
 ('10731', 'st10731', '32'),
 ('10732', 'st10732', '33'),
 ('10733', 'st10733', '34'),
 ('10734', 'st10734', '35'),
 ('10735', 'st10735', '36'),
 ('10736', 'st10736', '37'),
 ('10737', 'st10737', '38'),
 ('10738', 'st10738', '39'),
 ('10739', 'st10739', '40'),
 ('10740', 'st10740', '41'),
 ('10741', 'st10741', '42'),
 ('10742', 'st10742', '43'),
 ('10743', 'st10743', '44'),
 ('10744', 'st10744', '45'),
 ('10745', 'st10745', '46'),
 ('10746', 'st10746', '47'),
 ('10747', 'st10747', '48'),
 ('10748', 'st10748', '49'),
 ('10749', 'st10749', '50'),
 ('10750', 'st10750', '51'),
 ('10751', 'st10751', '52'),
 ('10752', 'st10752', '53'),
 ('10753', 'st10753', '54'),
 ('10754', 'st10754', '55'),
 ('10755', 'st10755', '56'),
 ('10756', 'st10756', '57'),
 ('10757', 'st10757', '58'),
 ('10758', 'st10758', '59'),
 ('10759', 'st10759', '60'),
 ('10760', 'st10760', '61'),
 ('10761', 'st10761', '62'),
 ('10762', 'st10762', '63'),
 ('10763', 'st10763', '64'),
 ('10764', 'st10764', '65'),
 ('10765', 'st10765', '66'),
 ('10766', 'st10766', '67'),
 ('10767', 'st10767', '68'),
 ('10768', 'st10768', '69'),
 ('10769', 'st10769', '70'),
 ('10770', 'st10770', '71'),
 ('10771', 'st10771', '72'),
 ('10772', 'st10772', '73'),
 ('10773', 'st10773', '74'),
 ('10774', 'st10774', '75'),
 ('10775', 'st10775', '76'),
 ('10776', 'st10776', '77'),
 ('10777', 'st10777', '78'),
 ('10778', 'st10778', '79'),
 ('10779', 'st10779', '80'),
 ('10780', 'st10780', '81'),
 ('10781', 'st10781', '82'),
 ('10782', 'st10782', '83'),
 ('10783', 'st10783', '84'),
 ('10784', 'st10784', '85'),
 ('10785', 'st10785', '86'),
 ('10786', 'st10786', '87'),
 ('10787', 'st10787', '88'),
 ('10788', 'st10788', '89'),
 ('10789', 'st10789', '90'),
 ('10790', 'st10790', '91'),
 ('10791', 'st10791', '92'),
 ('10792', 'st10792', '93'),
 ('10793', 'st10793', '94'),
 ('10794', 'st10794', '95'),
 ('10795', 'st10795', '96'),
 ('10796', 'st10796', '97'),
 ('10797', 'st10797', '98'),
 ('10798', 'st10798', '99'),
 ('10799', 'st10799', '100'),
 ('10800', 'st10800', '1'),
 ('10801', 'st10801', '2'),
 ('10802', 'st10802', '3'),
 ('10803', 'st10803', '4'),
 ('10804', 'st10804', '5'),
 ('10805', 'st10805', '6'),
 ('10806', 'st10806', '7'),
 ('10807', 'st10807', '8'),
 ('10808', 'st10808', '9'),
 ('10809', 'st10809', '10'),
 ('10810', 'st10810', '11'),
 ('10811', 'st10811', '12'),
 ('10812', 'st10812', '13'),
 ('10813', 'st10813', '14'),
 ('10814', 'st10814', '15'),
 ('10815', 'st10815', '16'),
 ('10816', 'st10816', '17'),
 ('10817', 'st10817', '18'),
 ('10818', 'st10818', '19'),
 ('10819', 'st10819', '20'),
 ('10820', 'st10820', '21'),
 ('10821', 'st10821', '22'),
 ('10822', 'st10822', '23'),
 ('10823', 'st10823', '24'),
 ('10824', 'st10824', '25'),
 ('10825', 'st10825', '26'),
 ('10826', 'st10826', '27'),
 ('10827', 'st10827', '28'),
 ('10828', 'st10828', '29'),
 ('10829', 'st10829', '30'),
 ('10830', 'st10830', '31'),
 ('10831', 'st10831', '32'),
 ('10832', 'st10832', '33'),
 ('10833', 'st10833', '34'),
 ('10834', 'st10834', '35'),
 ('10835', 'st10835', '36'),
 ('10836', 'st10836', '37'),
 ('10837', 'st10837', '38'),
 ('10838', 'st10838', '39'),
 ('10839', 'st10839', '40'),
